Category: All categories

Day,PETR3: (Brazil)
2019-07-01,40
2019-07-02,46
2019-07-03,60
2019-07-04,43
2019-07-05,50
2019-07-06,6
2019-07-07,0
2019-07-08,42
2019-07-09,22
2019-07-10,61
2019-07-11,50
2019-07-12,52
2019-07-13,18
2019-07-14,7
2019-07-15,44
2019-07-16,45
2019-07-17,38
2019-07-18,47
2019-07-19,39
2019-07-20,14
2019-07-21,0
2019-07-22,44
2019-07-23,21
2019-07-24,50
2019-07-25,35
2019-07-26,42
2019-07-27,6
2019-07-28,0
2019-07-29,37
2019-07-30,41
2019-07-31,28
2019-08-01,46
2019-08-02,66
2019-08-03,0
2019-08-04,0
2019-08-05,37
2019-08-06,53
2019-08-07,44
2019-08-08,42
2019-08-09,39
2019-08-10,5
2019-08-11,0
2019-08-12,38
2019-08-13,34
2019-08-14,46
2019-08-15,56
2019-08-16,51
2019-08-17,11
2019-08-18,6
2019-08-19,48
2019-08-20,41
2019-08-21,70
2019-08-22,45
2019-08-23,40
2019-08-24,12
2019-08-25,10
2019-08-26,37
2019-08-27,45
2019-08-28,45
2019-08-29,44
2019-08-30,36
2019-08-31,16
2019-09-01,8
2019-09-02,32
2019-09-03,42
2019-09-04,45
2019-09-05,51
2019-09-06,54
2019-09-07,9
2019-09-08,8
2019-09-09,43
2019-09-10,42
2019-09-11,42
2019-09-12,40
2019-09-13,43
2019-09-14,4
2019-09-15,9
2019-09-16,100
2019-09-17,79
2019-09-18,40
2019-09-19,53
2019-09-20,48
2019-09-21,11
2019-09-22,9
2019-09-23,42
2019-09-24,37
2019-09-25,46
2019-09-26,33
2019-09-27,38
2019-09-28,8
2019-09-29,8
2019-09-30,38
2019-10-01,41
2019-10-02,38
2019-10-03,32
2019-10-04,35
2019-10-05,4
2019-10-06,0
2019-10-07,39
2019-10-08,32
2019-10-09,30
2019-10-10,32
2019-10-11,53
2019-10-12,0
2019-10-13,7
2019-10-14,31
2019-10-15,37
2019-10-16,34
2019-10-17,43
2019-10-18,40
2019-10-19,26
2019-10-20,0
2019-10-21,35
2019-10-22,34
2019-10-23,44
2019-10-24,55
2019-10-25,53
2019-10-26,0
2019-10-27,9
2019-10-28,46
2019-10-29,41
2019-10-30,54
2019-10-31,41
2019-11-01,33
2019-11-02,7
2019-11-03,0
2019-11-04,41
2019-11-05,34
2019-11-06,87
2019-11-07,62
2019-11-08,43
2019-11-09,13
2019-11-10,8
2019-11-11,39
2019-11-12,38
2019-11-13,44
2019-11-14,42
2019-11-15,0
2019-11-16,6
2019-11-17,9
2019-11-18,39
2019-11-19,32
2019-11-20,11
2019-11-21,19
2019-11-22,50
2019-11-23,0
2019-11-24,0
2019-11-25,44
2019-11-26,40
2019-11-27,40
2019-11-28,28
2019-11-29,42
2019-11-30,7
2019-12-01,0
2019-12-02,40
2019-12-03,38
2019-12-04,40
2019-12-05,43
2019-12-06,45
2019-12-07,0
2019-12-08,14
2019-12-09,33
2019-12-10,31
2019-12-11,33
2019-12-12,42
2019-12-13,62
2019-12-14,8
2019-12-15,0
2019-12-16,47
2019-12-17,31
2019-12-18,54
2019-12-19,44
2019-12-20,51
2019-12-21,13
2019-12-22,0
2019-12-23,22
2019-12-24,26
2019-12-25,9
2019-12-26,41
2019-12-27,37
2019-12-28,5
2019-12-29,0
2019-12-30,32
2019-12-31,7
