Category: All categories

Day,Petrobras: (Brazil)
2022-01-01,16
2022-01-02,17
2022-01-03,35
2022-01-04,43
2022-01-05,74
2022-01-06,33
2022-01-07,26
2022-01-08,13
2022-01-09,12
2022-01-10,26
2022-01-11,31
2022-01-12,29
2022-01-13,28
2022-01-14,28
2022-01-15,15
2022-01-16,11
2022-01-17,21
2022-01-18,23
2022-01-19,23
2022-01-20,18
2022-01-21,21
2022-01-22,11
2022-01-23,10
2022-01-24,25
2022-01-25,24
2022-01-26,25
2022-01-27,23
2022-01-28,25
2022-01-29,15
2022-01-30,12
2022-01-31,24
2022-02-01,28
2022-02-02,24
2022-02-03,25
2022-02-04,25
2022-02-05,11
2022-02-06,12
2022-02-07,23
2022-02-08,22
2022-02-09,23
2022-02-10,18
2022-02-11,24
2022-02-12,14
2022-02-13,13
2022-02-14,33
2022-02-15,44
2022-02-16,31
2022-02-17,27
2022-02-18,27
2022-02-19,23
2022-02-20,38
2022-02-21,41
2022-02-22,42
2022-02-23,38
2022-02-24,55
2022-02-25,28
2022-02-26,16
2022-02-27,12
2022-02-28,17
2022-03-01,18
2022-03-02,28
2022-03-03,28
2022-03-04,28
2022-03-05,16
2022-03-06,16
2022-03-07,42
2022-03-08,44
2022-03-09,32
2022-03-10,67
2022-03-11,73
2022-03-12,39
2022-03-13,29
2022-03-14,41
2022-03-15,38
2022-03-16,59
2022-03-17,45
2022-03-18,36
2022-03-19,18
2022-03-20,16
2022-03-21,29
2022-03-22,28
2022-03-23,26
2022-03-24,27
2022-03-25,28
2022-03-26,13
2022-03-27,13
2022-03-28,37
2022-03-29,49
2022-03-30,31
2022-03-31,26
2022-04-01,26
2022-04-02,14
2022-04-03,12
2022-04-04,30
2022-04-05,30
2022-04-06,24
2022-04-07,27
2022-04-08,25
2022-04-09,12
2022-04-10,9
2022-04-11,24
2022-04-12,26
2022-04-13,29
2022-04-14,32
2022-04-15,18
2022-04-16,14
2022-04-17,10
2022-04-18,39
2022-04-19,31
2022-04-20,24
2022-04-21,13
2022-04-22,23
2022-04-23,11
2022-04-24,10
2022-04-25,21
2022-04-26,22
2022-04-27,18
2022-04-28,20
2022-04-29,22
2022-04-30,12
2022-05-01,9
2022-05-02,22
2022-05-03,20
2022-05-04,22
2022-05-05,28
2022-05-06,56
2022-05-07,25
2022-05-08,16
2022-05-09,43
2022-05-10,39
2022-05-11,36
2022-05-12,40
2022-05-13,34
2022-05-14,17
2022-05-15,16
2022-05-16,30
2022-05-17,24
2022-05-18,23
2022-05-19,24
2022-05-20,26
2022-05-21,13
2022-05-22,10
2022-05-23,27
2022-05-24,72
2022-05-25,34
2022-05-26,31
2022-05-27,30
2022-05-28,17
2022-05-29,12
2022-05-30,34
2022-05-31,32
2022-06-01,28
2022-06-02,29
2022-06-03,30
2022-06-04,13
2022-06-05,10
2022-06-06,24
2022-06-07,25
2022-06-08,23
2022-06-09,23
2022-06-10,23
2022-06-11,10
2022-06-12,9
2022-06-13,23
2022-06-14,23
2022-06-15,24
2022-06-16,15
2022-06-17,100
2022-06-18,47
2022-06-19,28
2022-06-20,99
2022-06-21,58
2022-06-22,38
2022-06-23,30
2022-06-24,28
2022-06-25,16
2022-06-26,17
2022-06-27,40
2022-06-28,39
2022-06-29,28
2022-06-30,28
2022-07-01,29
2022-07-02,14
2022-07-03,13
2022-07-04,27
2022-07-05,27
2022-07-06,26
2022-07-07,26
2022-07-08,22
2022-07-09,12
2022-07-10,11
2022-07-11,23
2022-07-12,22
2022-07-13,21
2022-07-14,21
2022-07-15,21
2022-07-16,10
2022-07-17,8
2022-07-18,20
2022-07-19,30
2022-07-20,25
2022-07-21,23
2022-07-22,21
2022-07-23,11
2022-07-24,9
2022-07-25,23
2022-07-26,25
2022-07-27,25
2022-07-28,49
2022-07-29,63
2022-07-30,19
2022-07-31,15
2022-08-01,37
2022-08-02,30
2022-08-03,27
2022-08-04,33
2022-08-05,29
2022-08-06,13
2022-08-07,9
