Category: All categories

Day,Petróleo: (Brazil)
2020-01-01,17
2020-01-02,12
2020-01-03,45
2020-01-04,49
2020-01-05,19
2020-01-06,20
2020-01-07,20
2020-01-08,34
2020-01-09,22
2020-01-10,12
2020-01-11,7
2020-01-12,17
2020-01-13,17
2020-01-14,16
2020-01-15,17
2020-01-16,16
2020-01-17,16
2020-01-18,8
2020-01-19,14
2020-01-20,16
2020-01-21,11
2020-01-22,17
2020-01-23,14
2020-01-24,17
2020-01-25,12
2020-01-26,11
2020-01-27,11
2020-01-28,14
2020-01-29,16
2020-01-30,21
2020-01-31,22
2020-02-01,12
2020-02-02,15
2020-02-03,15
2020-02-04,14
2020-02-05,15
2020-02-06,16
2020-02-07,15
2020-02-08,14
2020-02-09,13
2020-02-10,22
2020-02-11,20
2020-02-12,25
2020-02-13,24
2020-02-14,24
2020-02-15,14
2020-02-16,16
2020-02-17,23
2020-02-18,29
2020-02-19,22
2020-02-20,24
2020-02-21,16
2020-02-22,9
2020-02-23,7
2020-02-24,18
2020-02-25,23
2020-02-26,21
2020-02-27,16
2020-02-28,22
2020-02-29,19
2020-03-01,20
2020-03-02,25
2020-03-03,25
2020-03-04,22
2020-03-05,26
2020-03-06,25
2020-03-07,17
2020-03-08,30
2020-03-09,100
2020-03-10,80
2020-03-11,53
2020-03-12,47
2020-03-13,39
2020-03-14,26
2020-03-15,34
2020-03-16,37
2020-03-17,31
2020-03-18,25
2020-03-19,36
2020-03-20,32
2020-03-21,21
2020-03-22,17
2020-03-23,38
2020-03-24,29
2020-03-25,36
2020-03-26,40
2020-03-27,40
2020-03-28,21
2020-03-29,22
2020-03-30,31
2020-03-31,38
2020-04-01,34
2020-04-02,51
2020-04-03,48
2020-04-04,27
2020-04-05,28
2020-04-06,37
2020-04-07,39
2020-04-08,31
2020-04-09,39
2020-04-10,29
2020-04-11,28
2020-04-12,23
2020-04-13,46
2020-04-14,33
2020-04-15,39
2020-04-16,38
2020-04-17,32
2020-04-18,22
2020-04-19,25
2020-04-20,94
2020-04-21,88
2020-04-22,55
2020-04-23,52
2020-04-24,37
2020-04-25,25
2020-04-26,29
2020-04-27,37
2020-04-28,37
2020-04-29,34
2020-04-30,41
2020-05-01,18
2020-05-02,31
2020-05-03,26
2020-05-04,34
2020-05-05,39
2020-05-06,47
2020-05-07,36
2020-05-08,37
2020-05-09,24
2020-05-10,20
2020-05-11,42
2020-05-12,43
2020-05-13,43
2020-05-14,40
2020-05-15,34
2020-05-16,26
2020-05-17,21
2020-05-18,34
2020-05-19,35
2020-05-20,49
2020-05-21,48
2020-05-22,43
2020-05-23,20
2020-05-24,27
2020-05-25,45
2020-05-26,53
2020-05-27,56
2020-05-28,52
2020-05-29,54
2020-05-30,26
2020-05-31,20
2020-06-01,36
2020-06-02,50
2020-06-03,48
2020-06-04,50
2020-06-05,51
2020-06-06,27
2020-06-07,25
2020-06-08,45
2020-06-09,47
2020-06-10,45
2020-06-11,40
2020-06-12,41
2020-06-13,25
2020-06-14,31
2020-06-15,48
2020-06-16,48
2020-06-17,55
2020-06-18,52
2020-06-19,38
2020-06-20,30
2020-06-21,21
2020-06-22,40
2020-06-23,49
2020-06-24,46
2020-06-25,37
2020-06-26,41
2020-06-27,25
2020-06-28,28
2020-06-29,43
2020-06-30,39
